feature_id	name	feature_class	county	map_name	lat	lon	source_lat	source_lon
1521187	Indian Head Peak	Summit	Chelan	Glacier Peak East	48.006225	-121.101573		
1512321	Indian Hill	Summit	Pierce	Tacoma North	47.304538	-122.412054		
1521189	Indian Hill	Summit	Stevens	Chewelah	48.255447	-117.708839		
1521191	Indian John Hill	Summit	Kittitas	Teanaway	47.162163	-120.855666		
1505724	Indian Mountain	Summit	Pend Oreille	Orwig Hump	48.663462	-117.039118		
1521192	Indian Mountain	Summit	Whatcom	Copper Mountain	48.898752	-121.389819		
1531662	Indian Point	Summit	King	Tacoma North	47.371204	-122.491885		
1505730	Indian Rock	Summit	Klickitat	Indian Rock	45.989107	-120.823035		
1521206	Ingalls Peak	Summit	Chelan	Mount Stuart	47.472488	-120.946335		
1530382	Inklers Point	Summit	Stevens	Valley	48.189779	-117.726388		
1521209	Inspiration Peak	Summit	Whatcom	Mount Challenger	48.771232	-121.288368		
1521218	Ione Hill	Summit	Stevens	Spirit	48.760441	-117.631715		
1526422	Ira Spring Mountain	Summit	Snohomish	Sloan Peak	48.110667	-121.349667		
1521230	Irene Mountain	Summit	Okanogan	Bodie	48.796540	-118.935893		
1521232	Irish Mountain	Summit	Stevens	Aladdin	48.657543	-117.740928		
1521234	Iron Cap Mountain	Summit	King	Big Snow Mountain	47.553807	-121.285405		
1521237	Iron Creek Butte	Summit	Lewis	Greenhorn Buttes	46.396773	-121.952021		
1521240	Iron Mountain	Summit	Skagit	Day Lake	48.478523	-121.941963		
1521241	Iron Mountain	Summit	Pierce	Mount Rainier West	46.793011	-121.828330		
1521242	Iron Mountain	Summit	Chelan	Blewett	47.412031	-120.715346		
1521243	Iron Mountain	Summit	Jefferson	Mount Townsend	47.828429	-123.110109		
1521244	Iron Mountain	Summit	Snohomish	Baring	47.858300	-121.431185		
1521245	Iron Mountain	Summit	Snohomish	Granite Falls	48.090843	-121.937413		
1521246	Iron Mountain	Summit	Snohomish	Helena Ridge	48.161666	-121.543098		
1521247	Iron Mountain	Summit	Ferry	Edds Mountain	48.555751	-118.598272		
1521249	Iron Peak	Summit	Kittitas	Mount Stuart	47.415144	-120.900501		
1521251	Ironstone Mountain	Summit	Yakima	Spiral Butte	46.683165	-121.250346		
1521255	Irving Peak	Summit	Chelan	Poe Mountain	47.897887	-121.016004		
1521266	Island Mountain	Summit	Kittitas	Polallie Ridge	47.465195	-121.238858		
1521267	Island Mountain	Summit	Stevens	Northport	48.879005	-117.812406		
1521268	Island Mountain	Summit	Okanogan	Ashnola Mountain	48.895838	-120.449151		
1521269	Island Mountain	Summit	Okanogan	Barker Mountain	48.699948	-119.253774		
1521270	Island Mountain	Summit	Okanogan	Sweetgrass Butte	48.656856	-120.265504		
1521271	Island Rock	Summit	Stevens	Onion Creek	48.867488	-117.858968		
1521281	Ives Peak	Summit	Yakima	Old Snowy Mountain	46.502782	-121.447571		
1521290	Jack Mountain	Summit	Whatcom	Jack Mountain	48.772824	-120.956515		
1521291	Jack Mountain	Summit	Clark	Dole	45.839943	-122.250292		
1505773	Jack Woods Butte	Summit	Lincoln	Jack Woods Butte	47.821497	-118.933703		
1521298	Jackass Butte	Summit	Okanogan	Okanogan	48.353830	-119.563382		
1531807	Jackass Butte	Summit	Douglas	Trefry Canyon	48.100912	-119.296624		
1505774	Jackass Mountain	Summit	Franklin	Eltopia	46.425541	-119.080471		
1512328	Jackass Mountain	Summit	Grant	Soda Lake	46.912358	-119.156110		
1505775	Jackknife Butte	Summit	Klickitat	White Pine Buttes	45.908244	-120.886400		
1521301	Jackknife Mountain	Summit	Ferry	Jackknife Mountain	48.723570	-118.264968		
